GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
"Map(IsObject(Car), IsObject(Bicycle), GetAround)",cars,CCE,SmartLabel,True,1.1924658750067465,0.13209549998282455,2,2,116,616,15.217532467532468,1.1502403846153846,0,0,0,[]
"Map(IsObject(Guitar), IsObject(Microphone), GetAround)",festival,CCE,SmartLabel,True,1.3256272079888731,793.5481478340225,66,8,338,1482,13.528524590163935,1.1565137130801688,44,43,21,"[136.82287424997776, 136.15307754199603, 99.99691204100964, 45.13996683299774, 26.485742000018945, 16.065049500000896, 15.566176249994896, 15.658236500021303, 15.677157375001116, 15.704683834017487, 15.643118333013263, 15.676631124981213, 15.543876499985345, 15.649861457990482, 15.585361082979944, 15.888634584000101, 15.931404957984341, 15.626977625011932, 15.42993495799601, 15.393111499986844, 15.676494834013283, 15.954506250011036, 11.774773375014775, 11.422545374982292, 11.363847541972063, 11.695736374997068, 11.334598374989582, 11.475040874996921, 2.2648760830052197, 1.2827241670165677, 1.248623833002057, 1.245835875015473, 1.2588130829972215, 1.2758075000019744, 0.8479286250076257, 0.6709233330038842, 0.603749208006775, 0.4579655000125058, 0.4177159589889925, 0.3931854580005165, 0.32829862501239404, 0.3117680409923196, 0.28866304201073945, 0.2784716250025667]"
"Union[IsObject(Face), IsObject(Person)]",festival,CCE,SmartLabel,TIMEOUT,1.4538646249857266,1200.0037036249996,192,7,338,1518,13.528524590163935,1.1565137130801688,7,7,1,"[176.94827133399667, 161.80122583400225, 165.19989120899118, 166.25254983297782, 171.86725783298607, 170.13103020901326, 173.70646712498274]"
"Map(IsObject(Suit), IsObject(Bride), GetLeft)",wedding,CCE,SmartLabel,True,1.7840951250109356,107.22575904199039,1158,1,336,1348,9.659511472982976,1.1332020997375327,4,3,4,"[81.36163662502076, 16.753124000009848, 6.859765166998841, 2.213721625012113]"
"Map(Map(IsObject(Bride), IsObject(Face), GetAbove), IsObject(Suit), GetNotAround)",wedding,CCE,SmartLabel,True,3.567286042001797,379.00993308299803,352,1,336,1347,9.659511472982976,1.1332020997375327,4,4,2,"[118.52597758400952, 122.99860533300671, 118.77638545900118, 18.61031187500339]"
"Map(IsObject(Face), IsObject(Glasses), GetContains)",wedding,CCE,SmartLabel,True,2.153052125009708,166.2485387500201,742,2,336,1347,9.659511472982976,1.1332020997375327,5,4,4,"[70.64256637499784, 62.65700879099313, 18.112990833993535, 8.712351833004504, 5.813676457997644]"
"Intersection[IsObject(Person), Complement(Map(IsObject(Glasses), IsObject(Person), GetIsContained))]",wedding,CCE,SmartLabel,True,1.5161462080141064,94.1040090410097,1356,1,336,1350,9.659511472982976,1.1332020997375327,1,1,1,[93.98318208398996]
"Map(MouthOpen, MouthOpen, GetRight)",wedding,CCE,SmartLabel,True,4.450329582992708,109.30392329100869,50,3,336,1345,9.659511472982976,1.1332020997375327,6,6,3,"[99.70131616698927, 3.172376542002894, 2.7815677500038873, 2.70434408300207, 0.5718249170167837, 0.3361897909780964]"
"Intersection[Smile, Map(Intersection[MouthOpen, Smile], MouthOpen, GetRight)]",wedding,CCE,SmartLabel,True,1.4828129999805242,110.1071899580129,51,1,336,1349,9.659511472982976,1.1332020997375327,2,2,2,"[95.11415733300964, 14.736806917004287]"
"Map(IsObject(Tie), IsObject(Face), GetAbove)",wedding,CCE,SmartLabel,True,3.509628291008994,263.05025029100943,1314,3,336,1346,9.659511472982976,1.1332020997375327,5,5,4,"[98.3967772090109, 100.02177266599028, 48.407273832999635, 8.942131916002836, 6.798306541983038]"
