GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Map(IsObject(Car), IsObject(Bicycle), GetAround)",cars,standard,LearnSy,True,0.6929308749968186,284.72988241599523,1,1,116,616,15.217532467532468,1.1502403846153846,0,[]
"Map(IsObject(Guitar), IsObject(Microphone), GetAround)",festival,standard,LearnSy,FAIL,0.5643965830095112,60.12232391699217,199,4,338,1525,13.528524590163935,1.1565137130801688,3,"[4.29572645801818, 3.8843594170175493, 3.6468844579940196]"
"Union[IsObject(Face), IsObject(Person)]",festival,standard,LearnSy,True,0.7031773329945281,47.2679786249937,1,1,338,1525,13.528524590163935,1.1565137130801688,0,[]
"Map(IsObject(Suit), IsObject(Bride), GetLeft)",wedding,standard,LearnSy,True,0.666379541013157,105.43712133300141,171,1,336,1351,9.659511472982976,1.1332020997375327,2,"[1.086445165972691, 1.1004756669863127]"
"Map(Map(IsObject(Bride), IsObject(Face), GetAbove), IsObject(Suit), GetNotAround)",wedding,standard,LearnSy,FAIL,0.8008115410048049,116.65951504200348,64,4,336,1351,9.659511472982976,1.1332020997375327,3,"[1.0817465420113876, 1.4056773750053253, 1.0757459159940481]"
"Map(IsObject(Face), IsObject(Glasses), GetContains)",wedding,standard,LearnSy,True,0.78044633398531,113.89799166700686,18,5,336,1351,9.659511472982976,1.1332020997375327,9,"[0.19086595802218653, 0.14998545800335705, 0.15198404199327342, 0.15124695797567256, 0.1495515420101583, 0.1509560840204358, 0.1492781249980908, 0.15260425000451505, 0.14939874998526648]"
"Intersection[IsObject(Person), Complement(Map(IsObject(Glasses), IsObject(Person), GetIsContained))]",wedding,standard,LearnSy,True,0.4940561249968596,103.47478108300129,175,1,336,1351,9.659511472982976,1.1332020997375327,1,[1.1995715830125846]
"Map(MouthOpen, MouthOpen, GetRight)",wedding,standard,LearnSy,FAIL,1.4483914590091445,140.82890316599514,50,4,336,1351,9.659511472982976,1.1332020997375327,35,"[1.6889824579993729, 1.0536660829966422, 0.9102487500058487, 0.8582393749966286, 0.877416874980554, 0.8608231669932138, 0.8139382920053322, 0.8189928329957183, 0.8165989579865709, 0.8193921250058338, 0.8141975000035018, 0.8332607920165174, 0.8391266659891699, 0.8036865829781163, 0.8162177500198595, 0.7894143750017975, 0.7160100000037346, 0.7225287919864058, 0.7143961249967106, 0.7263487500022165, 0.7335807500057854, 0.7469313750043511, 0.714212958002463, 0.27632483301567845, 0.2737444999802392, 0.27324012501048855, 0.2764196250063833, 0.2945412500121165, 0.2718797919806093, 0.25429291700129397, 0.26180533299339004, 0.1850366249855142, 0.18313445799867623, 0.17887562501709908, 0.1627292920020409]"
"Intersection[Smile, Map(Intersection[MouthOpen, Smile], MouthOpen, GetRight)]",wedding,standard,LearnSy,True,1.0180794170009904,119.52037141600158,50,1,336,1351,9.659511472982976,1.1332020997375327,7,"[1.3006251250044443, 0.911238125001546, 0.75951079200604, 0.5594740840024315, 0.5141986249946058, 0.41269425000064075, 0.4176711250038352]"
"Map(IsObject(Tie), IsObject(Face), GetAbove)",wedding,standard,LearnSy,False,0.7665760829986539,114.88052158398204,41,1,336,1351,9.659511472982976,1.1332020997375327,4,"[1.2965622920019086, 0.7341472079860978, 0.4369951249973383, 0.32816820801235735]"
"Union[IsObject(Suit), IsObject(Tie), IsObject(Wedding Gown)]",wedding,standard,LearnSy,True,0.7229308329988271,129.3184545839904,1,1,336,1351,9.659511472982976,1.1332020997375327,0,[]
"Map(IsObject(Bride), Smile, GetAbove)",wedding,standard,LearnSy,True,0.6904517079819925,116.96670316701056,296,1,336,1351,9.659511472982976,1.1332020997375327,7,"[1.4061774579749908, 1.0863932499778457, 0.8880250410002191, 0.7846059160074219, 0.577129374985816, 0.5729515829880256, 0.3756492079992313]"
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",festival,standard,LearnSy,False,0.6887485829938669,52.970522166986484,26,1,338,1525,13.528524590163935,1.1565137130801688,18,"[0.6749907920020632, 0.2315278330061119, 0.24010362502303906, 0.04202441600500606, 0.019601042004069313, 0.019541541987564415, 0.019909458002075553, 0.02032045801752247, 0.020256167015759274, 0.02111750000040047, 0.02130712498910725, 0.019864500005496666, 0.020022249984322116, 0.019694500020705163, 0.019741707976209, 0.020208792004268616, 0.010778750001918525, 0.01043970900354907]"
