GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",wedding,standard,LearnSy,FAIL,1.3408301670569927,72.27480287500657,760,4,336,1351,9.659511472982976,1.1332020997375327,3,"[1.3837090418674052, 1.1793957920745015, 0.0031593330204486847]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",wedding,standard,LearnSy,True,1.056552791967988,70.99678912502714,1,1,336,1351,9.659511472982976,1.1332020997375327,0,[]
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",wedding,standard,LearnSy,FAIL,1.1419558750931174,67.81927483296022,23,4,336,1351,9.659511472982976,1.1332020997375327,2,"[0.8117576669901609, 0.01950608310289681]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",wedding,standard,LearnSy,FAIL,1.9294317080639303,86.42857045819983,107,4,336,1351,9.659511472982976,1.1332020997375327,26,"[1.1167788330931216, 1.1194527500774711, 1.2234054580330849, 1.3896520829293877, 1.2267950000241399, 1.1497142498847097, 1.0502006669994444, 1.1389005000237375, 0.5869409579318017, 0.1559217080939561, 0.15746487490832806, 0.15553087508305907, 0.15626295912079513, 0.1570262499153614, 0.15610308293253183, 0.15643720887601376, 0.7753635421395302, 0.11983595788478851, 0.11922433390282094, 0.11921249981969595, 0.11756550008431077, 0.11797408387064934, 0.12149258400313556, 0.11947716702707112, 0.11875966610386968, 0.11817995901219547]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",wedding,standard,LearnSy,False,1.737866124836728,72.3060190831311,180,1,336,1351,9.659511472982976,1.1332020997375327,10,"[1.5289685421157628, 1.52155620791018, 1.259307541884482, 0.009462625021114945, 0.003490709001198411, 0.0033838339149951935, 0.0015102499164640903, 0.0015617918688803911, 0.0015964999329298735, 0.00164583302102983]"
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",wedding,standard,LearnSy,True,1.2824635829310864,70.95773716596887,1,1,336,1351,9.659511472982976,1.1332020997375327,0,[]
"Intersection[Smile, EyesOpen]",wedding,standard,LearnSy,True,1.1522462910506874,81.47082195896655,7017,4,336,1351,9.659511472982976,1.1332020997375327,26,"[3.199391000205651, 3.5596498751547188, 2.3365790001116693, 1.227618790930137, 1.1436964171007276, 1.1011196670588106, 0.0471149580553174, 0.04658724996261299, 0.030003082938492298, 0.0299129169434309, 0.02987704100087285, 0.03182637505233288, 0.030629583867266774, 0.030515874968841672, 0.030206500086933374, 0.030108375009149313, 0.030169666977599263, 0.03058091690763831, 0.030078165931627154, 0.03054616693407297, 0.030843208078294992, 0.030861333943903446, 0.03097987500950694, 0.03092874982394278, 0.03098908392712474, 0.03104466595686972]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",wedding,standard,LearnSy,FAIL,0.9989098750520498,74.7417159168981,462,4,336,1351,9.659511472982976,1.1332020997375327,2,"[1.5907669169828296, 1.5790690830908716]"
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",wedding,standard,LearnSy,True,1.3413969168905169,243.8287498750724,4733,1,336,1351,9.659511472982976,1.1332020997375327,93,"[3.8892038338817656, 5.591546082869172, 5.715671583078802, 2.7450899169780314, 2.7439559169579297, 2.735124790808186, 2.7424338748678565, 2.162967665819451, 2.097579749999568, 2.0943482499569654, 2.0759901250712574, 2.0835646658670157, 2.083336374955252, 1.930187040939927, 1.9313547918573022, 1.9144046660512686, 1.9311970409471542, 1.9054224998690188, 1.902116334065795, 1.8958594999276102, 1.8816582078579813, 1.892127542058006, 1.891430666204542, 1.87417845800519, 1.8668743749149144, 1.8618550419341773, 1.881944458000362, 1.8683460829779506, 1.8593237909954041, 1.84538449998945, 1.8380543338134885, 1.8306786250323057, 1.8303929578978568, 1.821344083873555, 1.8162127500399947, 1.811848415993154, 1.8045155410654843, 1.8074497499037534, 1.7959201249759644, 1.7841103340033442, 1.7800475000403821, 1.7792306658811867, 1.7745067500509322, 1.7877580421045423, 1.7873055001255125, 1.798902457812801, 1.8094237921759486, 1.7945906249806285, 1.759965542005375, 1.7779427499044687, 1.7630912910681218, 1.7631580408196896, 1.7261640829965472, 1.717376499902457, 1.7285454999655485, 1.7404181670863181, 1.7038181668613106, 1.6939071661327034, 1.6954658750910312, 1.6836584580596536, 1.6822363331448287, 1.6745763749349862, 1.6735687078908086, 1.6656758328899741, 1.659238833002746, 1.659171582898125, 1.6534969999920577, 1.641525459010154, 1.6385988330002874, 1.6304362500086427, 1.6325524998828769, 1.621767083182931, 1.6176238749176264, 1.6317049579229206, 1.6020809579640627, 1.6063986669760197, 1.6001888329628855, 1.5926052080467343, 1.586907499935478, 1.5904731249902397, 1.595277207903564, 1.5765827919822186, 1.574406584026292, 1.5601389158982784, 1.556950957980007, 1.5655262088403106, 1.5444893341045827, 1.5436004588846117, 1.5378656659740955, 1.533678499981761, 1.5565238748677075, 1.520769082941115, 1.5351239168085158]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",wedding,standard,LearnSy,False,1.1860640831291676,79.47540974989533,967,1,336,1351,9.659511472982976,1.1332020997375327,5,"[2.1960833750199527, 1.45720879198052, 1.4160294171888381, 1.3442546669393778, 1.6071925410069525]"
"Intersection[IsObject(Face), Complement(Smile)]",wedding,standard,LearnSy,False,1.5899427919648588,68.70002708304673,2,1,336,1351,9.659511472982976,1.1332020997375327,1,[0.002456333953887224]
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",wedding,standard,LearnSy,True,1.4092890000902116,79.43772866716608,87,1,336,1351,9.659511472982976,1.1332020997375327,2,"[3.6417999998666346, 3.68798116594553]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",wedding,standard,LearnSy,True,1.9215464170556515,67.72990837483667,1,1,336,1351,9.659511472982976,1.1332020997375327,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",wedding,standard,LearnSy,FAIL,1.4140429589897394,76.481886040885,908,4,336,1351,9.659511472982976,1.1332020997375327,2,"[2.4237397080287337, 3.1822943328879774]"
