Domain,Test Setting,Avg. # Rounds of Interaction,Avg. # Initial Programs,Avg. # Final Programs,Avg. Input Space Size,Avg. Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Benchmarks Solved,Avg. Time per Round of Interaction
MNISTActiveLearning,standard_LearnSy,12.4,915.88,14.52,100.0,448.0,7.330357142857144,2.5057471264367814,29,4.35728261540381
MNISTActiveLearning,standard_SampleSy,2.12,915.88,18.36,100.0,448.0,7.330357142857144,2.5057471264367814,27,1.1349701567548591
MNISTActiveLearning,CCE_SmartLabel,4.12,1657.88,32.14,100.0,443.88,7.330357142857144,2.5057471264367814,50,4.676939208081977
MNISTActiveLearning,CCE-NoAbs_SmartLabel,4.06,1658.66,32.14,100.0,443.94,7.330357142857144,2.5057471264367814,50,8.83723995199294
MNISTActiveLearning,CCE_SmartLabelNoUB,4.12,1657.88,32.14,100.0,443.88,7.330357142857144,2.5057471264367814,50,21.908914357608012
MNISTActiveLearning,CCE_SelectRandom,56.38,1657.88,32.14,100.0,391.62,7.330357142857144,2.5057471264367814,50,0.2654317661484062
ImageEditActiveLearning,standard_LearnSy,6.72972972972973,1271.4864864864865,3.2972972972972974,271.72972972972974,1055.6486486486488,11.295473108199266,1.1514720788389718,14,1.1482253470121468
ImageEditActiveLearning,standard_SampleSy,2.2972972972972974,1271.4864864864865,4.45945945945946,271.72972972972974,1055.6486486486488,11.295473108199266,1.1514720788389718,28,0.6939315142082598
ImageEditActiveLearning,CCE_SmartLabel,7.972972972972973,1709.6756756756756,6.0,271.72972972972974,1047.7837837837837,11.295473108199266,1.1514720788389718,34,6.10338804700917
ImageEditActiveLearning,CCE-NoAbs_SmartLabel,7.972972972972973,1709.6756756756756,6.0,271.72972972972974,1047.7837837837837,11.295473108199266,1.1514720788389718,34,12.866169049732102
ImageEditActiveLearning,CCE_SmartLabelNoUB,6.081081081081081,1709.6756756756756,5.783783783783784,271.72972972972974,1049.6756756756756,11.295473108199266,1.1514720788389718,32,33.88173808569192
ImageEditActiveLearning,CCE_SelectRandom,143.86486486486487,1709.6756756756756,6.54054054054054,271.72972972972974,911.7297297297297,11.295473108199266,1.1514720788389718,33,0.3008360984933685
ImageSearchActiveLearning,standard_LearnSy,85.96,324.8,2.48,257.36,1135.12,12.74372270383146,1.1458631340294974,13,0.3051897138564776
ImageSearchActiveLearning,standard_SampleSy,2.16,324.8,4.84,257.36,1135.12,12.74372270383146,1.1458631340294974,19,0.43103654865020263
ImageSearchActiveLearning,CCE_SmartLabel,5.08,542.92,3.64,257.36,1130.32,12.74372270383146,1.1458631340294974,25,4.8026307192367526
ImageSearchActiveLearning,CCE-NoAbs_SmartLabel,5.08,542.92,3.64,257.36,1130.32,12.74372270383146,1.1458631340294974,25,9.27217854721326
ImageSearchActiveLearning,CCE_SmartLabelNoUB,4.72,542.92,2.32,257.36,1130.68,12.74372270383146,1.1458631340294974,24,39.928089080078
ImageSearchActiveLearning,CCE_SelectRandom,164.56,542.92,3.64,257.36,970.44,12.74372270383146,1.1458631340294974,25,0.1576358213509028
Overall,standard_LearnSy,26.946428571428573,901.4196428571429,8.125,191.85714285714286,802.1160714285714,9.848602051268005,1.7548071570501647,56,1.2071822491828883
Overall,standard_SampleSy,2.1875,901.4196428571429,10.75,191.85714285714286,802.1160714285714,9.848602051268005,1.7548071570501647,74,0.8268040365339923
Overall,CCE_SmartLabel,5.607142857142857,1426.1160714285713,17.142857142857142,191.85714285714286,796.6071428571429,9.848602051268005,1.7548071570501647,109,5.372425242158695
Overall,CCE-NoAbs_SmartLabel,5.580357142857143,1426.4642857142858,17.142857142857142,191.85714285714286,796.6339285714286,9.848602051268005,1.7548071570501647,109,10.827274008674594
Overall,CCE_SmartLabelNoUB,4.901785714285714,1426.1160714285713,16.776785714285715,191.85714285714286,797.3125,9.848602051268005,1.7548071570501647,106,30.68878313004943
Overall,CCE_SelectRandom,109.42857142857143,1426.1160714285713,17.321428571428573,191.85714285714286,692.6428571428571,9.848602051268005,1.7548071570501647,108,0.24462438561440697
