GT Program,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,# Label Questions,# Input Questions,Time Per Round
(length (filter (curry le 5) (map (curry plus 1) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.155544125009328,59.651885957980994,2569,61,100,446,7.330357142857143,2.5057471264367814,2,2,2,"[43.42849550000392, 13.788649333000649]"
(fold max 0  (map (curry plus (apply pred_int input-img)) (filter (curry le 8) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.6114019170054235,167.89705016702646,677,4,100,290,7.330357142857143,2.5057471264367814,163,158,61,"[47.0410339999944, 31.789031166990753, 2.8788577080122195, 1.4241937910555862, 1.3881225830409676, 1.0631370000191964, 1.0236745409783907, 1.0562861249782145, 1.0133871249854565, 1.0028864170308225, 1.0171770000015385, 0.9874017079710029, 0.9925764580257237, 0.9775739169563167, 0.97541579202516, 0.9930850840173662, 1.0025545000098646, 1.0051985420286655, 0.9916992079815827, 1.027985958964564, 0.9827490409952588, 0.9848729170043953, 0.9398623750312254, 0.9005024580401368, 0.9167050830437802, 0.948178332997486, 0.9485080830054358, 0.8300837500137277, 0.8309374999953434, 0.8309472499531694, 0.8573223749990575, 0.7447062500286847, 0.7331590420217253, 0.7269068330060691, 0.8413349170004949, 0.844971832993906, 0.8514736659708433, 0.9786592500167899, 0.8368866249802522, 0.8638810829725116, 0.8354425839497708, 0.8463211659691297, 0.8382687920238823, 0.8295107499579899, 0.7997666670125909, 0.8260204999824055, 0.8224590420140885, 0.8380429589888081, 0.7605188330053352, 0.7852202079957351, 0.9133272920153104, 0.7820991249755025, 0.7154967919923365, 0.7135496669798158, 0.7096937079913914, 0.7560011249734089, 0.6343412499991246, 0.6324948329711333, 0.5830982499755919, 0.5894939580466598, 0.5884525830042548, 0.5884937499649823, 0.5948487080167979, 0.5440944590372965, 0.5375305830384605, 0.5500269170152023, 0.5359110420104116, 0.5453782080439851, 0.5449926250148565, 0.5482163329725154, 0.545903833990451, 0.5233159589697607, 0.523023167042993, 0.5402978329802863, 0.5047594580100849, 0.5010193749913014, 0.5059848330565728, 0.5257149999961257, 0.5193402500008233, 0.5187180420034565, 0.5177755830227397, 0.511634916998446, 0.49082654097583145, 0.5116428339970298, 0.5387666249880567, 0.5130299169686623, 0.5104749579913914, 0.4645182910026051, 0.40688683302141726, 0.38989720901008695, 0.40252004098147154, 0.4029343749862164, 0.40705412498209625, 0.3952593340072781, 0.3511363749857992, 0.3540417499607429, 0.38401658297516406, 0.3714933330193162, 0.38024337496608496, 0.3833401669980958, 0.387064290989656, 0.37492550001479685, 0.37557191704399884, 0.3873326249886304, 0.37705970800016075, 0.346815750002861, 0.3110589580028318, 0.3139032499748282, 0.3329735000152141, 0.33427037502406165, 0.32691579195670784, 0.3302039169939235, 0.3294080410269089, 0.3543587909662165, 0.32650695799384266, 0.3268484169966541, 0.3261957920040004, 0.3234531249618158, 0.32997833396075293, 0.3242098749615252, 0.320882833970245, 0.31914450001204386, 0.3310652079526335, 0.3230725830071606, 0.3027014590334147, 0.29971187497721985, 0.3007849589921534, 0.30366483295802027, 0.29614049999509007, 0.29997912503313273, 0.26580987503984943, 0.25122495798859745, 0.24725466599920765, 0.2604022500454448, 0.2618110000039451, 0.2590921249939129, 0.23575629200786352, 0.17789004102814943, 0.1771413329988718, 0.16189920902252197, 0.18246958300005645, 0.18207625002833083, 0.18174924998311326, 0.18275895796250552, 0.23427424998953938, 0.1864452920272015, 0.18183479103026912, 0.1584796670358628, 0.17048258299473673, 0.17022316600196064, 0.1863829159992747, 0.17257395898923278, 0.16948104201583192, 0.16994095797417685, 0.1703394579817541, 0.16876625001896173, 0.16856854100478813, 0.16980499995406717, 0.17008270899532363, 0.13868824997916818, 0.12992537498939782, 0.13153741700807586, 0.12723158398875967]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 6) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,14.15813141601393,14.897873042034917,49,1,100,445,7.330357142857143,2.5057471264367814,3,3,2,"[11.424755042011384, 2.88558879197808, 0.5378923750249669]"
(length (filter (curry ge (apply pred_int input-img)) (map (curry mult 2)  (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,4.65418737498112,153.17963920795592,6377,1,100,442,7.330357142857143,2.5057471264367814,6,6,4,"[46.76165395794669, 42.342926082958, 32.81821245799074, 18.913622916967142, 11.515879833023064, 0.7646935830125585]"
(fold max 0 (map (curry plus (apply pred_int input-img)) (filter (curry le 2)  (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.6128920419723727,55.86617858399404,5593,1,100,445,7.330357142857143,2.5057471264367814,3,3,3,"[46.15125745796831, 9.129521541995928, 0.5346094170236029]"
(fold plus 0 (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,8.933970874990337,57.457721334008966,976,7,100,443,7.330357142857143,2.5057471264367814,5,5,3,"[45.349740125006065, 4.266126915987115, 3.6241078749881126, 1.9316001670085825, 1.9518575829570182]"
(fold mult 1 (filter (curry le (apply pred_int input-img)) (map (curry mult 3) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,2.984368292032741,79.55743399995845,1754,1,100,445,7.330357142857143,2.5057471264367814,3,3,2,"[43.77462470799219, 35.20358445798047, 0.5284718750044703]"
(length (filter (curry le 8) (filter (curry ge 8) (map_imgs pred_int input-list)))),,CCE,SmartLabel,True,3.6707182499812916,102.69971566699678,5456,2,100,444,7.330357142857143,2.5057471264367814,4,4,4,"[47.43541604198981, 39.214516833017115, 14.780781124951318, 1.1899183329660445]"
(fold plus (apply pred_int input-img) (filter (curry ge (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,7.756566916999873,160.50961141701555,1532,7,100,443,7.330357142857143,2.5057471264367814,5,5,3,"[49.5084297080175, 47.883231208019424, 48.16520033299457, 12.27081229200121, 2.3176679580355994]"
(fold plus 0 (map (curry mult 2) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,40.558463707973715,22.80392433301313,78,13,100,446,7.330357142857143,2.5057471264367814,2,2,1,"[18.81202100001974, 3.4193979169940576]"
(fold max (apply pred_int input-img) (filter (curry ge 5) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,10.943932708993088,229.13422991603147,4198,31,100,443,7.330357142857143,2.5057471264367814,5,5,4,"[51.25739275000524, 72.75581941602286, 58.551956707960926, 30.30541141598951, 14.897587082989048]"
(fold plus 0 (map (curry plus (apply pred_int input-img)) (map_imgs pred_int input-list))),,CCE,SmartLabel,True,3.0021957909921184,3.3894082499900833,10,6,100,447,7.330357142857143,2.5057471264367814,1,1,1,[3.075651250022929]
