Domain,Test Setting,Avg. # Rounds of Interaction,Avg. # Initial Programs,Avg. # Final Programs,Avg. Input Space Size,Avg. Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Benchmarks Solved,Avg. Time per Round of Interaction
MNISTActiveLearning,standard_LearnSy,13.34,1172.08,13.54,100.0,448.0,7.330357142857144,2.5057471264367814,30,4.420650527770303
MNISTActiveLearning,standard_SampleSy,2.06,1172.08,23.14,100.0,448.0,7.330357142857144,2.5057471264367814,31,1.1470121265800435
MNISTActiveLearning,CCE_SmartLabel,4.06,1856.68,32.14,100.0,443.94,7.330357142857144,2.5057471264367814,50,4.333617874110356
MNISTActiveLearning,CCE-NoAbs_SmartLabel,4.06,1857.5,32.14,100.0,443.94,7.330357142857144,2.5057471264367814,50,8.403454022313436
MNISTActiveLearning,CCE_SmartLabelNoUB,4.06,1856.68,32.14,100.0,443.94,7.330357142857144,2.5057471264367814,50,22.019360461647352
MNISTActiveLearning,CCE_SelectRandom,51.86,1856.68,32.14,100.0,396.14,7.330357142857144,2.5057471264367814,50,0.2966122689576639
ImageEditActiveLearning,standard_LearnSy,11.64864864864865,989.027027027027,3.4324324324324325,271.72972972972974,1055.6486486486488,11.295473108199266,1.1514720788389718,23,0.6232556110008116
ImageEditActiveLearning,standard_SampleSy,2.054054054054054,989.027027027027,4.783783783783784,271.72972972972974,1055.6486486486488,11.295473108199266,1.1514720788389718,25,0.6762384906852322
ImageEditActiveLearning,CCE_SmartLabel,4.27027027027027,1368.7567567567567,4.837837837837838,271.72972972972974,1051.5405405405406,11.295473108199266,1.1514720788389718,35,5.9324170250410235
ImageEditActiveLearning,CCE-NoAbs_SmartLabel,4.27027027027027,1368.7567567567567,4.837837837837838,271.72972972972974,1051.5405405405406,11.295473108199266,1.1514720788389718,35,15.576509605020377
ImageEditActiveLearning,CCE_SmartLabelNoUB,3.918918918918919,1368.7567567567567,3.945945945945946,271.72972972972974,1051.8918918918919,11.295473108199266,1.1514720788389718,33,39.20485785456278
ImageEditActiveLearning,CCE_SelectRandom,110.51351351351352,1368.7567567567567,3.5675675675675675,271.72972972972974,945.0540540540541,11.295473108199266,1.1514720788389718,34,0.47734724671490386
ImageSearchActiveLearning,standard_LearnSy,8.2,299.2,1.96,257.36,1135.12,12.74372270383146,1.1458631340294974,17,0.4016430886194008
ImageSearchActiveLearning,standard_SampleSy,2.16,299.2,1.48,257.36,1135.12,12.74372270383146,1.1458631340294974,21,0.36420231868396513
ImageSearchActiveLearning,CCE_SmartLabel,9.04,659.56,1.44,257.36,1126.4,12.74372270383146,1.1458631340294974,25,3.0579758026985866
ImageSearchActiveLearning,CCE-NoAbs_SmartLabel,9.04,659.56,1.44,257.36,1126.4,12.74372270383146,1.1458631340294974,25,6.025840838149626
ImageSearchActiveLearning,CCE_SmartLabelNoUB,4.88,659.56,1.56,257.36,1130.56,12.74372270383146,1.1458631340294974,24,35.9578216147693
ImageSearchActiveLearning,CCE_SelectRandom,54.2,659.56,1.56,257.36,1080.92,12.74372270383146,1.1458631340294974,23,0.09691508569594857
Overall,standard_LearnSy,11.633928571428571,916.7678571428571,7.616071428571429,191.85714285714286,802.1160714285714,9.848602051268005,1.7548071570501647,70,2.5322593273454483
Overall,standard_SampleSy,2.080357142857143,916.7678571428571,12.241071428571429,191.85714285714286,802.1160714285714,9.848602051268005,1.7548071570501647,77,0.8120313284925161
Overall,CCE_SmartLabel,5.241071428571429,1428.2767857142858,16.267857142857142,191.85714285714286,797.0,9.848602051268005,1.7548071570501647,110,4.2728259792346925
Overall,CCE-NoAbs_SmartLabel,5.241071428571429,1428.642857142857,16.267857142857142,191.85714285714286,797.0,9.848602051268005,1.7548071570501647,110,9.418789971967056
Overall,CCE_SmartLabelNoUB,4.196428571428571,1428.2767857142858,16.0,191.85714285714286,798.0446428571429,9.848602051268005,1.7548071570501647,107,30.93933787154866
Overall,CCE_SelectRandom,71.75892857142857,1428.2767857142858,15.875,191.85714285714286,730.3303571428571,9.848602051268005,1.7548071570501647,107,0.3548971564442547
