Domain,Test Setting,Avg. # Rounds of Interaction,Avg. # Initial Programs,Avg. # Final Programs,Avg. Input Space Size,Avg. Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Benchmarks Solved,Avg. Time per Round of Interaction
MNISTActiveLearning,standard_LearnSy,14.48,1060.62,14.06,100.0,448.0,7.330357142857144,2.5057471264367814,29,3.96928372046716
MNISTActiveLearning,standard_SampleSy,2.02,1060.62,19.58,100.0,448.0,7.330357142857144,2.5057471264367814,32,1.2039272491451316
MNISTActiveLearning,CCE_SmartLabel,3.98,1555.72,32.14,100.0,444.02,7.330357142857144,2.5057471264367814,50,4.442569031394157
MNISTActiveLearning,CCE-NoAbs_SmartLabel,4.04,1556.4,32.14,100.0,443.96,7.330357142857144,2.5057471264367814,50,9.051108697160737
MNISTActiveLearning,CCE_SmartLabelNoUB,3.98,1555.72,32.14,100.0,444.02,7.330357142857144,2.5057471264367814,50,20.82926541324775
MNISTActiveLearning,CCE_SelectRandom,50.8,1555.72,32.14,100.0,397.2,7.330357142857144,2.5057471264367814,50,0.29604109605732115
ImageEditActiveLearning,standard_LearnSy,7.351351351351352,999.2432432432432,2.054054054054054,271.72972972972974,1055.6486486486488,11.295473108199266,1.1514720788389718,27,1.1888421957478652
ImageEditActiveLearning,standard_SampleSy,2.081081081081081,999.2432432432432,6.081081081081081,271.72972972972974,1055.6486486486488,11.295473108199266,1.1514720788389718,28,0.7881936855499284
ImageEditActiveLearning,CCE_SmartLabel,4.297297297297297,1766.837837837838,5.972972972972973,271.72972972972974,1051.4864864864865,11.295473108199266,1.1514720788389718,36,12.319124450693318
ImageEditActiveLearning,CCE-NoAbs_SmartLabel,4.297297297297297,1766.837837837838,5.972972972972973,271.72972972972974,1051.4864864864865,11.295473108199266,1.1514720788389718,36,25.82744709591808
ImageEditActiveLearning,CCE_SmartLabelNoUB,3.3783783783783785,1766.837837837838,2.4864864864864864,271.72972972972974,1052.4054054054054,11.295473108199266,1.1514720788389718,33,56.117370570003985
ImageEditActiveLearning,CCE_SelectRandom,119.94594594594595,1766.837837837838,2.324324324324324,271.72972972972974,935.4864864864865,11.295473108199266,1.1514720788389718,33,0.5173718643670842
ImageSearchActiveLearning,standard_LearnSy,20.56,165.12,2.0,257.36,1135.12,12.74372270383146,1.1458631340294974,17,0.2161352946496603
ImageSearchActiveLearning,standard_SampleSy,2.36,165.12,3.72,257.36,1135.12,12.74372270383146,1.1458631340294974,19,0.3878893552543359
ImageSearchActiveLearning,CCE_SmartLabel,6.32,648.24,5.64,257.36,1128.96,12.74372270383146,1.1458631340294974,25,7.815420238361024
ImageSearchActiveLearning,CCE-NoAbs_SmartLabel,6.32,648.24,5.64,257.36,1128.96,12.74372270383146,1.1458631340294974,25,12.11415028371487
ImageSearchActiveLearning,CCE_SmartLabelNoUB,4.44,648.24,4.48,257.36,1130.84,12.74372270383146,1.1458631340294974,22,56.06912407689326
ImageSearchActiveLearning,CCE_SelectRandom,158.12,648.24,4.68,257.36,976.72,12.74372270383146,1.1458631340294974,23,0.12123297262628079
Overall,standard_LearnSy,13.482142857142858,840.4553571428571,7.401785714285714,191.85714285714286,802.1160714285714,9.848602051268005,1.7548071570501647,73,2.19087419358382
Overall,standard_SampleSy,2.1160714285714284,840.4553571428571,11.580357142857142,191.85714285714286,802.1160714285714,9.848602051268005,1.7548071570501647,79,0.8657090207215552
Overall,CCE_SmartLabel,4.607142857142857,1422.9017857142858,17.580357142857142,191.85714285714286,797.5892857142857,9.848602051268005,1.7548071570501647,111,7.902419423582784
Overall,CCE-NoAbs_SmartLabel,4.633928571428571,1423.205357142857,17.580357142857142,191.85714285714286,797.5625,9.848602051268005,1.7548071570501647,111,15.123167225249313
Overall,CCE_SmartLabelNoUB,3.8839285714285716,1422.9017857142858,16.169642857142858,191.85714285714286,798.3125,9.848602051268005,1.7548071570501647,105,39.96176531269415
Overall,CCE_SelectRandom,97.59821428571429,1422.9017857142858,16.160714285714285,191.85714285714286,704.3839285714286,9.848602051268005,1.7548071570501647,106,0.32268545044720554
